Question,Expected_answer,Generated_answer,Citations
"If the diagnostic characters are as follows The body Relatively large; up to ~10 mm; ~36 setigers; dorsum smooth; adhesive papillae absent. The prostomium Arched anteriorly; two pairs of eyes; anterior eye-specks present; antennae flask-shaped, about prostomial length. The setae Compound setae with unidentate blades of variable length; superior simple seta present. The cirri Dorsal cirri flask-shaped anteriorly, more elongate posteriorly; dorsal cirri absent from setiger 2; ventral cirri small, conical. The parapodia Small; setigerous lobes present. The notopodium Reduced. The neuropodium Setigerous lobe bearing compound and simple setae. The peristomium tentacular segment Short; embracing prostomium; tentacular cirri lateral, smaller than antennae. Identify the polychaete species.",Sphaerosyllis suhlaevis,Sphaerosyllis suhlaevis,[chunk_000319]
"If the diagnostic characters are as follows The body Very long, smooth, slender; ~35 mm  times 0.5 mm; >200 segments; anterior segments short and crowded, posterior segments elongate. The prostomium Bluntly conical; four eyes; three ovoid frontal antennae, median antenna superior to laterals. The setae Anterior parapodia with compound setae bearing short triangular bidentate blades; posterior parapodia with simple setae, shafts short, tips bluntly triangular. The cirri Dorsal cirri ovoid, compressed, subequal to setigerous lobe; present on all setigers including setiger 2; ventral cirri absent. The parapodia Conical setigerous lobes; ventral cirri absent, fused to posterior margin of setigerous lobe. The notopodium Reduced. The neuropodium Setigerous lobe bearing compound or simple setae. The pharynx Slender; reaching setiger 6; unarmed; trepan absent. Identify the polychaete species.",Exogonoides antennata,"Exogonoides antennata Day, 1963.",[chunk_000320]
"If the diagnostic characters are as follows The body 10 to 25 mm; paired dorsal red pigment rectangles (fading in alcohol). The prostomium Small; three long antennae; median antenna longer than laterals; palps not visible dorsally. The setae Compound; bidentate blades; shaft-heads denticulate. The cirri Tentacular cirri and dorsal cirri of setiger 1 very long; subsequent dorsal cirri shorter than body width. The parapodia Normal autolytine type. The pharynx S-shaped; trepan with ~20 teeth, alternating large and small. The peristomium tentacular segment Tentacular cirri very long. The proventriculus With 50 to 60 rows of points. Identify the polychaete species.",Autolytus pictus,Autolytus pictus,[chunk_000321]
"If the diagnostic characters are as follows The body 6 to 12 mm; dusky anteriorly, otherwise pale. The prostomium Rounded; four eyes; three long, wrinkled antennae; palps slightly visible dorsally. The setae Four to five compound bidentate setae; posterior feet with single superior simple seta, pointed. The cirri Dorsal cirri of setiger 1 long; subsequent dorsal cirri very short, ~Â¼ body width. The parapodia Typical autolytine type. The pharynx Long, twisted; margin weakly chitinised; enclosed in sheath with ~10 papillae; numerous minute indistinct teeth. The peristomium tentacular segment Dorsal tentacular cirri long, antenna-like; ventral tentacular cirri much shorter. The proventriculus At setiger 4; 25 to 30 rows of points. Identify the polychaete species.",Autolytus maclearnus,Autolytus maclearnus,[chunk_000322]
"If the diagnostic characters are as follows The body Small; ~6 mm; 30 to 40 segments; colourless. The prostomium Broad, subquadrate; eyes indistinct or absent; antennae paired, widely separated; palpophores stout, fully fused to prostomium; palpostyles slender, longer than antennae. The setae All homogomph spinigers; inferior neuropodial setae with shorter blades, shaft-heads tending to hemigomph condition. The cirri Dorsal cirri short; ventral cirri small. The parapodia First two setigers uniramous; notopodial lobes and notosetae absent, dorsal cirrus retained; subsequent parapodia biramous, uniform throughout. The notopodium Superior lobe absent; inferior lobe elongated, exceeding dorsal cirrus; intermediate setigerous lobe absent. The neuropodium Stout conical setigerous lobe; very small inferior lobe; ventral cirrus small. The proboscis Without paragnaths; jaws paired, large, with seven teeth each. Identify the polychaete species.",Micronereides capensis,"Micronereides capensis Day, 1963",[chunk_000323]
"If the diagnostic characters are as follows The body Elongate; ~60 mm; ~120 segments. The prostomium Oval; single slender median antenna; palps paired, long. The setae Anterior setae heterogomph and homogomph spinigers, heterogomph falcigers with long blades; posterior notosetae homogomph spinigers and hemigomph falcigers with bidentate apices; posterior neurosetae homogomph and heterogomph spinigers and heterogomph falcigers. The cirri Dorsal cirri very long anteriorly; ventral cirri reduced posteriorly. The parapodia Anterior and posterior parapodia dissimilar. The notopodium Anterior parapodia with two notopodial lobes and very long dorsal cirrus; posterior parapodia with superior notopodial lobe forming cirrophore of dorsal cirrus. The neuropodium Anterior neuropodium with setigerous lobe bearing long presetal lip; posterior neuropodium with inferior lobe reduced to ventral papilla on setigerous lobe. The proboscis Paragnath formula I=0, II=12, III=5, IV=12, V=0, VI broad fleshy lobe, VII to VIII=0. Identify the polychaete species.",Unanereis macgregori,"Unanereis macgregori Day, 1962",[chunk_000324]
"If the diagnostic characters are as follows The body Slender; up to ~85 mm; colour pale, gills red in life. The prostomium Deeply cleft between antennae; palps short, fused to divided prostomium. The setae Homogomph spinigers only; neuropodial blades shorter than notopodial. The cirri Dorsal cirri tapered anteriorly; ventral cirri short. The parapodia Anterior, branchiferous, and posterior parapodia differentiated. The notopodium Anterior feet with three lobes; branchiferous feet with three-lobed notopodium; posterior feet simplified, bilabiate. The neuropodium Anterior feet with four postsetal lobes, later with one to two presetal lobes; branchiferous feet with setigerous lobe subdivided into six, later four lobes; posterior neuropodium conical, bilabiate. The branchiae Bipinnate branchial filaments on dorsal cirri from ~setiger 12 to 24. Identify the polychaete species.",Dendronereis arborifera,"Dendronereis arborifera Peters, 1854",[chunk_000325]
"If the diagnostic characters are as follows The body Up to ~50 mm; anterior segments with brown spotting. The prostomium As broad as long; median longitudinal groove. The setae Notosetae homogomph spinigers throughout; neuropodial falcigers with long straight blades anteriorly, shorter posteriorly with terminal tendon; posterior neuropodia with 1 to 3 enlarged simple hammer-shaped setae formed by blade fusion. The cirri Dorsal cirri elongated posteriorly; ventral cirri present. The parapodia Anterior and posterior parapodia differentiated. The notopodium Three lobes throughout; intermediate lobe well developed anteriorly, reduced posteriorly; dorsal cirrus slightly longer anteriorly, long posteriorly. The neuropodium Setigerous lobe with long postsetal lip; posterior neuropodia with modified simple setae. The proboscis Maxillary ring smooth; area VI with large soft transverse lobe; areas VII to VIII with row of six soft papillae. Identify the polychaete species.",Laeonereis ankyloseta,"Laeonereis ankyloseta Day, 1957",[chunk_000326]
If the diagnostic characters are as follows The body Up to ~105 mm in subantarctic material; ~30 mm in South African specimens. The prostomium As in Platynereis dumerilii. The setae As in P. dumerilii except absence of adult notopodial falcigers. The cirri Dorsal cirri markedly elongated on posterior parapodia. The parapodia Similar to P. dumerilii with posterior regional differentiation. The notopodium Notopodial falcigers absent in adults; posterior notopodial lobes elongated. The neuropodium As in P. dumerilii. Identify the polychaete species.,Platynereis australis,Platynereis australis,[chunk_000327]
"If the diagnostic characters are as follows The body ~30 mm; greenish. The prostomium Longer than broad; palps swollen. The setae Notopodial spinigers few in all feet; numerous notopodial falcigers from ~setiger 5 onward with short, brown, strongly hooked blades attached by a tendon; neurosetae spinigers and falcigers, falcigers with tendon at blade tip. The cirri Dorsal cirri long, especially on posterior parapodia. The parapodia Regionally differentiated. The notopodium Anterior feet with two rounded lobes and long dorsal cirrus; posterior feet with enlarged superior lobe bearing long dorsal cirrus and smaller inferior lobe. The neuropodium Typical of genus. The tentacular cirri Long. Identify the polychaete species.",Platynereis calodonta,"Platynereis calodonta Kinberg, 1866",[chunk_000328]
"If the diagnostic characters are as follows The body Up to ~45 mm; greenish; often pale dorsal stripe. The prostomium Longer than broad; palps large, swollen. The setae Notosetae spinigers numerous; homogomph falcigers from mid-body onward, blades elongate with sharply recurved tip bearing terminal knob; neurosetae spinigers and falcigers, falciger blades recurved with short tendons. The cirri Dorsal cirri long, increasing posteriorly. The parapodia Regionally differentiated. The notopodium Anterior feet with two large rounded lobes, minute intermediate lobe, long dorsal cirrus; posterior feet with two conical lobes and longer dorsal cirrus. The neuropodium Typical of genus. The tentacular cirri Long. Identify the polychaete species.",Platynereis dumerilii,Platynereis dumerilii,[chunk_000329]
"If the diagnostic characters are as follows The body Small; ~26 mm; ~50 segments; brown bands on setigers 2 to 3; scattered brown spots on remaining segments. The prostomium Typical of genus. The setae Notopodial falcigers with straight conical blades, lightly serrated basally; neuropodial falcigers with relatively straight blades. The cirri Dorsal cirri elongate, longer posteriorly. The parapodia Regionally differentiated. The notopodium Anterior feet with two lobes and a long dorsal cirrus; posterior feet similar with relatively longer dorsal cirrus; posterior notopodia with 1 to 2 falcigers. The neuropodium Typical; falcigers present. The tentacular cirri Typical. Identify the polychaete species.",Nereis granulata,"Nereis granulata Day, 1957",[chunk_000330]
"If the diagnostic characters are as follows The body Small; ~15 to 25 mm; slender. The prostomium Anterior margin not notched. The setae Posterior notopodial falcigers with dark blades bearing 2 to 3 large teeth; neuropodial falcigers with slightly curved blades. The cirri Dorsal cirri elongate, relatively longer posteriorly. The parapodia Regionally differentiated. The notopodium Anterior feet with two lobes and longer dorsal cirrus; superior lobe small, further reduced posteriorly; anterior notosetae homogomph spinigers; posterior notopodia with 1 to 2 stout falcigers. The neuropodium With heterogomph falcigers. The tentacular cirri Short. Identify the polychaete species.",Nereis jacksoni,Nereis jacksoni,[chunk_000331]
"If the diagnostic characters are as follows The body 15 to 30 mm; slender. The prostomium Rather long. The setae Homogomph falcigers with straight, elongate blades, lightly serrated near base. The cirri Dorsal cirri elongate, slightly longer posteriorly. The parapodia Regionally differentiated. The notopodium Anterior feet with two lobes and slightly longer dorsal cirrus; posterior feet similar with superior lobe slightly expanded; notosetae spinigers throughout, with 1 to 2 homogomph falcigers appearing from mid-body onward. The neuropodium Typical nereid condition. The tentacular cirri Long. Identify the polychaete species.",Neanthes trifasciata,Nereis persica,[chunk_000333]
"If the diagnostic characters are as follows The body 15 to 30 mm. The prostomium Broadly triangular. The setae Notosetae spinigers anteriorly, falcigers posteriorly; neuropodial falcigers curved. The cirri Dorsal cirri long anteriorly, shorter posteriorly. The parapodia Anterior and posterior differentiated. The notopodium Anterior feet with two lobes and long dorsal cirrus; posterior feet with both lobes smaller and more slender; posterior notosetae with 1 to 2 dark homogomph falcigers bearing blades with 2 to 3 blunt teeth. The neuropodium Neuropodial falcigers with curved blades and slight apical tendon. The proboscis Paragnaths Group I 0 to 1; II double row; III few scattered points; IV 2 to 3 rows; V absent; VI cluster of 6 to 10; VII to VIII broad band with anterior row of large points and 2 to 3 posterior rows of fine points. Identify the polychaete species.",Nereis persica,Nereis persica,[chunk_000333]
If the diagnostic characters are as follows The body 60 to 120 mm; 80 to 120 segments. The prostomium Broad inverted T-shape; palps large; tentacular cirri short. The setae Notosetae spinigers and single posterior falciger; neurosetae spinigers and falcigers. The cirri Dorsal cirri longer than notopodial lobes; ventral cirri present. The parapodia Anterior and posterior feet similar in structure. The notopodium Two subequal lobes; dorsal cirrus longer than lobes; posterior notosetae with homogomph spinigers and single falciger with short smooth blade. The neuropodium Typical nereid neuropodium; neurosetae spinigers and falcigers. The proboscis Paragnaths Group I 2 to 3; II oblique double row; III oval patch; IV wedge-shaped group; V absent; VI 4 to 5 large points in cross; VII to VIII 1 to 2 irregular rows of large points followed by several rows of smaller points. Identify the polychaete species.,Nereis pelagica,"Nereis pelagica Linnaeus, 1758",[chunk_000334]
"If the diagnostic characters are as follows The body 20 to 30 mm; brown transverse bar on setiger 2. The prostomium Rather long; often brown-tinged. The setae Neuropodial falcigers with short hooked blades, blade tips attached by a distinct tendon. The cirri Dorsal cirri shorter than notopodial lobes anteriorly, relatively longer posteriorly; ventral cirri present. The parapodia Anterior and posterior parapodia differentiated. The notopodium Anterior feet with two lobes and shorter dorsal cirrus; posterior feet with more pointed lobes and elongate superior lobe; notopodial falcigers absent. The neuropodium Neuropodial falcigers present. The tentacular cirri Long. Identify the polychaete species.",Neanthes unifasciata,Neanthes unifasciata,[chunk_000335]
"If the diagnostic characters are as follows The body ~20 mm; brown transverse bar on setiger 2. The prostomium Not specified. The setae Neuropodial falcigers with rather straight blades; blade tips attached by indistinct tendon. The cirri Dorsal cirrus slightly exceeding superior notopodial lobe; ventral cirri present. The parapodia Anterior and posterior parapodia differentiated. The notopodium Anterior feet with three lobes, intermediate lobe smaller; posterior feet with two lobes; dorsal cirrus slightly longer than superior lobe; notopodial falcigers absent. The neuropodium Neuropodial falcigers present. The tentacular cirri Not specified. Identify the polychaete species.",Neanthes agulhana,"Neanthes agulhana Day, 1963",[chunk_000336]
"If the diagnostic characters are as follows The body ~80 mm; ~90 segments. The prostomium Broad, inverted T-shaped; palps broad; tentacular cirri short. The setae Spinigerous setae only; falcigers absent throughout. The cirri Dorsal cirri short anteriorly, reduced posteriorly; ventral cirri present. The parapodia Anterior, middle, and posterior parapodia differentiated. The notopodium Anterior feet with three lobes and short dorsal cirrus; middle feet with expanded superior lobe bearing dorsal cirrus terminally; posterior feet with large lamellate superior lobe, dorsal cirrus small and set in terminal notch. The neuropodium Typical; without falcigers. The proboscis Paragnaths Group I 2 in line; II 12 to 15 in double row; III triangular group of ~16; IV wedge of 18 to 24; V group of 5; VI rosette of ~10; VII to VIII 2 to 3 rows of mixed large and small points. Identify the polychaete species.",Neanthes agnesiae,Neanthes agnesiae,[chunk_000337]
"If the diagnostic characters are as follows The body Reddish brown; up to ~80 mm long. The prostomium Typical of genus; palps well developed; tentacular cirri present. The setae Notosetae spinigers only; neurosetae falcigers with long straight blades lacking distinct terminal tendons. The cirri Dorsal cirri short posteriorly, reduced and carried on enlarged superior notopodial lobe; ventral cirri present. The parapodia Anterior and posterior parapodia differentiated. The notopodium Anterior feet with three notopodial lobes and setal lip; posterior feet with superior lobe greatly enlarged and lamellate, dorsal cirrus short and set in terminal notch; intermediate lobe reduced; inferior lobe pointed; notopodial falcigers absent. The neuropodium Well developed; bears falcigers only. The proboscis Paragnaths Group I 1; II double row; III few scattered points; IV wedge-shaped group; V 3 to 5; VI cluster of 8 to 12; VII to VIII broad band of ~4 irregular rows. Identify the polychaete species.",Alitta succinea,Alitta succinea,[chunk_000338]
"If the diagnostic characters are as follows The body ~30 mm long; anterior segments with vague brown transverse bars; dorsum minutely papillose, especially posteriorly. The prostomium Deeply cleft between slender antennae; palps elongate; tentacular cirri very long. The setae Notosetae with 1 to 2 homogomph falcigers in posterior feet, blades long, slightly curved, spinulose; neurosetae heterogomph falcigers with very long spinulose blades and hooked tips. The cirri Dorsal cirri extremely long; ventral cirri present. The parapodia Anterior and posterior parapodia similar in basic structure. The notopodium Anterior feet with two lobes; superior lobe slender, sometimes appearing as ventral branch of dorsal cirrus; posterior feet with superior lobe further reduced; dorsal cirri very long. The neuropodium Well developed; falcigers present. The proboscis Paragnaths Group I 0; II wedge-shaped group; III few scattered points; IV wedge-shaped group. Identify the polychaete species.",Ceratonereis mirabilis,Ceratonereis mirabilis,[chunk_000339]
"If the diagnostic characters are as follows The body Up to ~80 mm long. The prostomium As broad as long; tentacular cirri of moderate length. The setae Notosetae spinigers only; neuropodial setae few heterogomph falcigers with long blades; in posterior feet two falcigers enlarged, often losing blades. The cirri Dorsal cirri slightly longer than notopodial lobes anteriorly, elongate posteriorly; ventral cirri present. The parapodia Anterior parapodia with two notopodial lobes and slightly elongate dorsal cirrus; middle parapodia (about setigers 7 to 17) with a small but distinct intermediate notopodial lobe; posterior parapodia with all lobes elongate and more pointed. The notopodium Two lobes anteriorly; transient intermediate lobe in mid-body; no notopodial falcigers. The neuropodium Setigerous lobe with long presetal lip and stout postsetal lip; posterior neuropodia elongate. The proboscis Paragnaths Group I 0 to 1; II double row; III three in a triangular group; IV wedge-shaped group. Identify the polychaete species.",Ceratonereis costae,Ceratonereis costae,[chunk_000340]
"If the diagnostic characters are as follows The body Up to ~45 mm long. The prostomium Hexagonal; tentacular cirri of moderate length. The setae Notosetae spinigers only; neuropodial falcigers anteriorly straight to slightly convex, posteriorly more hooked with distinct tendon; posterior feet with two to three giant falcigers with blades partly fused to shafts. The cirri Dorsal cirri longer than notopodial lobes anteriorly; ventral cirri present. The parapodia Anterior parapodia with three subequal notopodial lobes and elongate dorsal cirrus; posterior parapodia with notopodia and neuropodia diverging, notopodial setigerous lobe reduced or vestigial, remaining notopodial lobes long and pointed. The notopodium Three lobes anteriorly; posteriorly reduced setigerous lobe; no notopodial falcigers. The neuropodium Well developed; posterior neuropodia with modified falcigers. The proboscis Paragnaths Group I 0 to 1; II one to two rows of 4 to 10; III 2 to 3 in line; IV 4 to 6 in triangular group. Identify the polychaete species.",Ceratonereis pachychaeta,Ceratonereis pachychaeta,[chunk_000341]
"If the diagnostic characters are as follows The body Slender; up to ~160 mm long. The prostomium Broader than long; antennae short; tentacular cirri fairly long. The setae Notosetae spinigers only; neuropodial falcigers with short blades lacking tendons; posterior feet with one to two enlarged falcigers with blades fused to shafts forming simple hooks. The cirri Dorsal cirri short, subequal to notopodial lobes; ventral cirri present. The parapodia Anterior parapodia with two notopodial lobes and a short dorsal cirrus of similar length; posterior parapodia similar, lobes more pointed. The notopodium Two lobes; notopodial falcigers absent. The neuropodium Well developed; posterior neuropodia with modified falcigers. The proboscis Paragnaths elongate, conical; Group I 2 to 6; II double row ~10; III transverse patch ~18; IV wedge-shaped group 12 to 15. Identify the polychaete species.",Ceratonereis erythraeensis,Ceratonereis erythraeensis,[chunk_000342]
"If the diagnostic characters are as follows The body Stout; up to ~300 mm long; ~90 segments. The prostomium Broader than long; palps stout, as long as antennae. The setae Notosetae homogomph spinigers only; neurosetae homogomph spinigers and falcigers, falcigers with convex, spinous blades and expanded truncate tips. The cirri Dorsal cirri moderate, subequal to notopodial lobes anteriorly; ventral cirri present. The parapodia Anterior parapodia with three notopodial lobes and dorsal cirrus of equal length; neuropodium with setigerous lobe, presetal lip shorter than postsetal lip; posterior parapodia with superior notopodial lobe longer than dorsal cirrus, neuropodial postsetal lip long, slender, equal to inferior lobe. The notopodium Three lobes anteriorly; superior lobe elongate posteriorly; notopodial falcigers absent. The neuropodium Setigerous lobe well developed; posterior neuropodia with elongated postsetal lip. The proboscis Basal ring with soft, indistinct papillae; Group V absent; VI single large square papilla; VII to VIII single row; maxillary ring with chitinous paragnaths, Group I absent, II oblique row, III transverse group, IV triangular group. Identify the polychaete species.",Leonnates decipiens,"Leonnates decipiens Fauvel, 1929",[chunk_000343]
"If the diagnostic characters are as follows The body Large, robust; up to ~150 mm long, ~8 mm wide; dark green; ovigerous females bluish. The prostomium Broad inverted T; palps large, bulbous. The setae Notosetae homogomph spinigers only; neuropodial falcigers with short, faintly hooked blades. The cirri Dorsal cirri longer than notopodial lobes anteriorly, reduced posteriorly; ventral cirri present. The parapodia Anterior parapodia with two rounded notopodial lobes and longer dorsal cirrus; posterior parapodia with superior notopodial lobe enlarged, flattened, lamellate, dorsal cirrus small and terminal. The notopodium Two lobes anteriorly; superior lobe expanded and lamellate posteriorly; falcigers absent. The neuropodium Setigerous lobe well developed; neuropodial falcigers stout. The proboscis Group I 0 to 1; II double row of 12 to 15; III three comb-like rows of 12 to 24; IV wedge of 15 to 20; V single paragnath; VI single large transverse bar; VII to VIII 2 to 3 irregular rows; paragnaths in II to IV comb-like, not basally fused. Identify the polychaete species.",Pseudonereis variegata,Pseudonereis variegata,[chunk_000344]
"If the diagnostic characters are as follows The body Up to ~80 mm long. The prostomium Broadly triangular; antennae tapered; tentacular cirri short. The setae Notosetae homogomph spinigers; neuropodial falcigers heterogomph, blades straight. The cirri Dorsal cirri short, subequal to notopodial lobes; ventral cirri present. The parapodia Anterior parapodia with two notopodial lobes and short dorsal cirrus equal to lobe length; posterior parapodia similar with slightly longer lobes. The notopodium Two lobes; notosetae homogomph spinigers with short blades; falcigers absent. The neuropodium Inferior lobe short anteriorly; heterogomph falcigers present with very straight blades. The proboscis Group I 1 to 2; II two curved rows; III square group; IV triangular field of numerous points; V three large points in triangle; VI two narrow transverse bars; VII to VIII 2 to 3 irregular rows. Identify the polychaete species.",Perinereis vancaurica,The polychaete species is Perinereis vancaurica.,[chunk_000345]
"If the diagnostic characters are as follows The body Brown anteriorly; up to ~70 mm long. The prostomium Broad inverted T; palpophores large, compressed, each with small terminal button; antennae tapered; tentacular cirri fairly short. The setae Notosetae homogomph spinigers; neurosetae homogomph and heterogomph spinigers plus heterogomph falcigers with nearly straight apices. The cirri Dorsal cirri long, arising from superior notopodial lobe; ventral cirri present. The parapodia Anterior parapodia with two to three notopodial lobes, intermediate lobe fused to inferior lobe; posterior parapodia with enlarged base of superior notopodial lobe. The notopodium Superior lobe bearing dorsal cirrus; dorsal cirrus ~2 times length of superior lobe anteriorly; notosetae homogomph spinigers only. The neuropodium Setigerous lobe with short pointed postsetal projection throughout; neurosetae spinigers and falcigers. The proboscis Group I 2 to 3 in row; II wedge of 12 to 15; III oval group ~10; IV triangle ~15; V absent; VI single large transverse bar; VII to VIII two irregular rows of large and small points. Identify the polychaete species.",Perinereis capensis,"Perinereis capensis Kinberg, 1866",[chunk_000346]
"If the diagnostic characters are as follows The body Large; up to ~250 mm; ~125 segments. The prostomium Broadly triangular; palps large; tentacular cirri long, slender. The setae Neuropodial falcigers with fairly straight blades; notopodial falcigers absent. The cirri Dorsal cirri short, weakly increasing posteriorly; ventral cirri present. The parapodia Anterior parapodia with two notopodial lobes; posterior parapodia similar, lobes more pointed. The notopodium Two lobes throughout; dorsal cirrus short anteriorly, little change posteriorly; notosetae spinigers only. The neuropodium Setigerous lobe simple; falcigers present. The proboscis Group I 1 to 3 large points in line; II few points in triangle; III oval patch; IV wedge-shaped group; V three large points in triangle; VI transverse bar; VII to VIII two to three rows of equal-sized points. Identify the polychaete species.",Perinereis cultrifera,Perinereis cultrifera,[chunk_000347]
"If the diagnostic characters are as follows The body About 25 mm long. The prostomium Pentagonal; anterior margin straight; antennae well developed, subequal, tapered; eyes visible through body wall. The setae Anterior notosetae laddered capillaries; posterior notosetae long flattened capillaries; forked setae present posteriorly. The cirri Dorsal cirrus of first setiger well developed; branchial cirri present from setiger 4. The parapodia Biramous; rami strongly divergent; setigerous lobes pointed. The notopodium Presetal lamella small, auricular anteriorly; postsetal lamella larger; middle feet with postsetal lamella projecting dorsally; posterior feet with postsetal lamella reduced, scarcely exceeding acicular lobe. The neuropodium Anterior feet with three lamellae (anterior auricular, superior tongue-like, postsetal auricular); middle feet with superior lamella elongated and strap-like; posterior feet with lamellae reduced, superior lamella lost. The branchiae Cirriform branchiae from setiger 4; straight or involute; each with slender notopodial cirrus at base. Identify the polychaete species.",Aglaophamus dibranchis,Aglaophamus dibranchis,[chunk_000348]
"If the diagnostic characters are as follows The body About 30 mm long. The prostomium Pentagonal; anterior margin straight; eyes absent. The setae Anterior fan of laddered capillaries; posterior fan of long-bladed capillaries; forked setae present in both rami. The cirri Notopodial cirrus at base of branchiae, short to very long. The parapodia Biramous; lamellae prominent anteriorly, reduced posteriorly. The notopodium Anterior feet with rounded presetal lamella and larger orbicular postsetal lamella, both exceeding setigerous lobe; posterior feet with lamellae reduced, shorter than setigerous lobe. The neuropodium Anterior feet with oval presetal lamella, blade-like superior lamella, large orbicular postsetal lamella; posterior feet with lamellae reduced, superior lamella absent. The branchiae From setiger 4 or 5; involute; each with notopodial cirrus at base, length variable among authors. Identify the polychaete species.",Aglaophamus lyrochaeta,Aglaophamus lyrochaeta,[chunk_000349]
"If the diagnostic characters are as follows The body Large; up to ~150 mm. The prostomium Subquadrate; eyes absent; antennae unequal, second antenna longer, ventro-lateral in origin. The setae Anterior laddered capillaries; posterior fan of very long, flattened capillaries. The cirri Ventral cirri blade-like throughout; dorsal cirri associated with branchiae. The parapodia Biramous; setigerous lobes produced into small auricular processes receiving acicula. The notopodium Presetal lamella bilobed, superior part very small, inferior part large and square anteriorly, reduced after ~20 setigers; postsetal lamella large, unequally bilobed, superior part expanded into foliaceous process; dorsal cirrus absent on first foot, blade-like on branchiferous feet. The neuropodium Presetal lamella bilobed with two small widely separated lobes persisting posteriorly; postsetal lamella large, unequally bilobed, main lobe inferior and becoming ligulate posteriorly. The branchiae From setigers 2 to 4; cirriform, involute; size increasing to maximum around setiger 20 then decreasing; each with flattened blade-like dorsal cirrus. Identify the polychaete species.",Aglaophamus macroura,"Aglaophamus macroura Schmarda, 1861",[chunk_000350]
"If the diagnostic characters are as follows The body About 60 mm. The prostomium Pentagonal, slightly arched anteriorly; eyes absent; posterior antennae slightly shorter than anterior pair. The setae Anterior fan of laddered capillaries; posterior fan of numerous very long capillaries with spinulose margins; few shorter geniculate setae with coarse teeth. The cirri Ventral cirrus of first foot elongate, equal to antennae; dorsal cirrus absent on first foot. The parapodia Biramous throughout. The notopodium Conical; presetal lamella small, entire (not notched); postsetal lamella large, rounded. The neuropodium Conical; presetal lamella small with slightly produced upper margin; postsetal lamella large, rounded, projecting well beyond setigerous lobe. The branchiae From setiger 4; anterior branchiae rectangular and compressed; posterior branchiae cirriform and recurved, especially in large specimens. Identify the polychaete species.",Nephtys capensis,Nephtys capensis,[chunk_000351]
"If the diagnostic characters are as follows The body Large; up to ~150 mm. The prostomium Straight to slightly concave anteriorly; eyes indistinct or two; posterior antennae larger than anterior pair. The setae Anterior fan of laddered capillaries; posterior fan of long, flattened capillaries with transverse rows of fine teeth on one margin. The cirri Ventral cirrus of first foot stout, conical; dorsal cirrus reduced to low papilla on first foot. The parapodia Biramous; rami divergent. The notopodium Setigerous lobe broadly rounded anteriorly, becoming more pointed posteriorly; anterior lamellae rudimentary; posterior lamellae small, rounded, scarcely exceeding setigerous lobe. The neuropodium Setigerous lobe conical anteriorly, becoming more pointed posteriorly; anterior lamellae rudimentary; posterior lamellae small, rounded. The branchiae From setigers 8 to 10; anterior branchiae cirriform, recurved, with small notopodial cirrus at base; middle branchiae flattened or lamellar; branchiae decreasing and absent in posterior segments. Identify the polychaete species.",Nephtys paradoxa,"Nephtys paradoxa Malmgren, 1874",[chunk_000352]
If the diagnostic characters are as follows The body Small; ~6.5 mm; ~42 segments. The prostomium As broad as long; antennae slender; eye-spots doubtful. The setae Anterior fan of laddered capillaries; posterior fan of long setae finely serrate on convex margin. The cirri Ventral cirrus of setiger 1 longer than setigerous lobe; dorsal cirrus of setiger 1 similar; ventral cirri small on subsequent segments. The parapodia Poorly developed throughout. The notopodium Notopodial cirri absent; branchiae absent; presetal lamellae rudimentary or absent; postsetal lamellae present but scarcely exceeding setigerous lobes. The neuropodium Setigerous lobes conical; presetal lamellae rudimentary or absent; postsetal lamellae small. The proboscis Not described. Identify the polychaete species.,Nephtys ambrizettana,Nephtys ambrizettana,[chunk_000353]
"If the diagnostic characters are as follows The body Elongate; 100 to 150 mm; cylindrical. The prostomium Conical, tapered; 10 to 12 indistinct rings. The cirri Dorsal cirrus ovoid, basally attached; ventral cirrus long, pointed, directed ventrally. The parapodia Biramous; presetal lobes equal, pointed; postsetal lobes shorter than presetal lobes. The notopodium Postsetal lobe subequal to neuropodial lobe in middle feet; superior postsetal lobe elongate and pointed posteriorly. The neuropodium Inferior postsetal lobe rounded and shorter posteriorly. The branchiae Retractile; single digitiform lobe per parapodium; arising from anterior face; beginning at setiger ~20. The jaws Jaw supports with one well-developed prong; second prong reduced to a triangular basal projection, not separated by a notch. Identify the polychaete species.",Glycera rouxi,"Glycera rouxi Audouin & Milne-Edwards, 1833",[chunk_000354]
"If the diagnostic characters are as follows The body Elongate, tapering at both ends; iridescent brown in alcohol; up to ~360 mm. The prostomium Long conical; 8 to 10 annulations; four short antennae; eyes absent. The setae Anterior notosetae absent; posterior notopodial acicular setae blunt; neurosetae spinigerous. The cirri Dorsal cirri tapered, basally flattened anteriorly, triangular posteriorly; ventral cirri long, triangular. The parapodia Anterior region with 60 to 70 uniramous segments; posterior region biramous. The notopodium Anterior feet lacking notosetae; posterior feet with triangular dorsal cirrus and similar inferior lobe; 2 to 3 simple blunt acicular setae between lobes. The neuropodium Large; two presetal lobes united basally; single postsetal lobe with expanded base and pointed tip. The jaws Macrognaths with four teeth; micrognaths ~30 dorsal and ~15 ventral. Identify the polychaete species.",Goniada emerita,"Goniada emerita Audouin & Milne-Edwards, 1833",[chunk_000355]
